0xsline/dsh-spotlight	BSD-3-Clause
a179-sanae/dsh-code-check	BSD-3-Clause
alingalingling/ui-status-label	NONE
AnacondaKC/dsh-custom-css	BSD-3-Clause
AnacondaKC/dsh-douyin	BSD-3-Clause
AnacondaKC/dsh-stock-market	BSD-3-Clause
Anionex/dsh-computer-use	MIT
Anionex/dsh-turn-rewind	BSD-3-Clause
Anionex/dsh-vision-toolkit	MIT
bill9109/dsh-101	BSD-3-Clause
bill9109/dsh-conversation-share	BSD-3-Clause
bill9109/dsh-drag-and-drop	BSD-3-Clause
bill9109/dsh-webbridge	BSD-3-Clause
bill9109/dsh-web-ui-notify	BSD-3-Clause
bitterSmilezzz/dsh-mac-desktop	MIT
bobleer/dsh-acp-for-bitfun	MIT
btspoony/dsh-advisor	MIT
btspoony/dsh-llm-fallbacks	MIT
Buyi-wsgzg/dsh-sidechain	BSD-3-Clause
ccch1mneyyy/dsh-cc-tui	BSD-3-Clause
ccq1/dsh-side-panel	BSD-3-Clause
Chinesezjc/dsh-interconnect	MIT
cking000bigdemon/dsh-toolbelt	MIT
Degurechaff57/dsh-openapi	MIT
Demogorgon314/dsh-resume-plugin	MIT
dingyi222666/dsh-focus-chat	NONE
dingyi222666/dsh-session-notification	NONE
Drifter-yh/dsh-tool-policy	MIT
fakechris/dsh-track	BSD-3-Clause
Flyvhidbwo/dsh-vision-proxy	MIT
fuhefei/dsh-sentinel	BSD-3-Clause
Han-1413141/dsh-sticky-disclosure	MIT
havingautism/dsh-deepresearch	NONE
havingautism/dsh-notebooks	NONE
havingautism/dsh-ultra-ui	NONE
hellodigua/dsh-emoji	MIT
hellodigua/dsh-share	MIT
HuanLinOTO/dsh-plugin-aigc-canvas	NOASSERTION
HuanLinOTO/dsh-plugin-anti-ads	NOASSERTION
HuanLinOTO/dsh-plugin-auto-blame	NOASSERTION
HuanLinOTO/dsh-plugin-better-sidebar-plugin-office	NOASSERTION
HuanLinOTO/dsh-plugin-d399	NOASSERTION
HuanLinOTO/dsh-plugin-interpreters	NOASSERTION
HuanLinOTO/dsh-plugin-mineru	NOASSERTION
HuanLinOTO/dsh-plugin-sleep	NOASSERTION
HuanLinOTO/dsh-plugin-spur	NOASSERTION
HuanLinOTO/dsh-plugin-ya-workspace-sidebar	NOASSERTION
HuanLinOTO/dsh-plugin-yet-another-subagent	NOASSERTION
huiliyi37/dsh-tianshu-tui	Apache-2.0
humblebanana/dsh-record-replay	MIT
hust-open-atom-club/oh-dsh-desktop	BSD-3-Clause
icetomoyo/dsh_workflow	MIT
ilharp/dsh-tool-approval	BSD-3-Clause
jumpserver-east/jumpserver-dsh	MIT
lehhair/dsh-diff-viewer	NONE
lehhair/dsh-mobile	BSD-3-Clause
lehhair/dsh-split-panes	BSD-3-Clause
lhh010/dsh-minigames	BSD-3-Clause
lin-cheng-lab/dsh-deepseek-balance	MIT
LingLambda/dsh-undo	MIT
liustack/modlens	MIT
LoserFox/distill	NONE
LoserFox/dsh-git-identity	NONE
LoserFox/telegram	NONE
lzszq/dsh-scholar	MIT
Moeblack/deepseek-manners	NONE
Moeblack/dsh-message-edit	NONE
Moeblack/dsh-payload-capture	NONE
Moeblack/dsh-prompt-studio	BSD-3-Clause
Mongfayi/dsh-local-filetree	NOASSERTION
Nagi-ovo/dsh-ads	NONE
Nagi-ovo/dsh-visualize	NONE
NanmiCoder/dsh-agent-teams	NONE
nowledge-co/nowledge-mem-deepseek-harness	NONE
